Ticker,Company,Date,Open,High,Low,Close,Volume,Daily_Return
CAT,Caterpillar Inc,2023-09-27,271.0,274.23,269.2,272.71,1991541.0,0.011835856337192086
CAT,Caterpillar Inc,2023-09-28,273.49,278.25,272.22,276.24,1994725.0,0.012944153129698321
CAT,Caterpillar Inc,2023-09-29,279.08,279.55,271.36,273.0,2257825.0,-0.011728931364031303
CAT,Caterpillar Inc,2023-10-02,272.64,276.81,270.24,271.72,1778235.0,-0.004688644688644605
CAT,Caterpillar Inc,2023-10-03,271.21,273.58,267.54,268.97,2188005.0,-0.010120712498159823
CAT,Caterpillar Inc,2023-10-04,267.5,267.82,262.78,265.03,2970215.0,-0.014648473807488016
CAT,Caterpillar Inc,2023-10-05,263.9,265.94,260.43,260.8,2639337.0,-0.0159604573067198
CAT,Caterpillar Inc,2023-10-06,261.57,268.4185,258.27,266.04,2293464.0,0.02009202453987724
CAT,Caterpillar Inc,2023-10-09,266.04,271.61,264.6508,271.3,1640764.0,0.019771462937903994
CAT,Caterpillar Inc,2023-10-10,272.65,275.0957,271.83,273.21,2009107.0,0.007040176925912078
CAT,Caterpillar Inc,2023-10-11,273.53,274.4079,269.9,272.83,1538219.0,-0.001390871490794643
CAT,Caterpillar Inc,2023-10-12,273.8,273.8,266.19,269.61,1910506.0,-0.011802221163361715
CAT,Caterpillar Inc,2023-10-13,270.49,273.9399,266.1,267.94,1918648.0,-0.006194132265123775
CAT,Caterpillar Inc,2023-10-16,272.12,273.972,269.58,270.79,1678588.0,0.01063670971112951
CAT,Caterpillar Inc,2023-10-17,268.58,275.56,268.58,272.65,2110205.0,0.006868791314302403
CAT,Caterpillar Inc,2023-10-18,268.5,269.0,258.75,259.22,4257056.0,-0.04925728956537667
CAT,Caterpillar Inc,2023-10-19,257.91,260.0,251.76,252.89,3849996.0,-0.02441941208240117
CAT,Caterpillar Inc,2023-10-20,251.31,253.49,248.158,249.2,3103477.0,-0.014591324291193808
CAT,Caterpillar Inc,2023-10-23,247.63,251.61,246.56,247.32,3193201.0,-0.00754414125200642
CAT,Caterpillar Inc,2023-10-24,250.25,251.72,247.25,249.55,2304815.0,0.009016658579977355
CAT,Caterpillar Inc,2023-10-25,249.87,250.77,244.5,244.94,2542399.0,-0.018473251853336037
CAT,Caterpillar Inc,2023-10-26,245.53,246.73,240.41,242.43,3859150.0,-0.010247407528374275
CAT,Caterpillar Inc,2023-10-27,243.05,243.915,237.86,238.56,3229943.0,-0.015963370869941818
CAT,Caterpillar Inc,2023-10-30,240.94,243.6,239.18,242.16,4478283.0,0.015090543259557387
CAT,Caterpillar Inc,2023-10-31,227.65,230.54,223.76,226.05,12093251.0,-0.06652626362735381
